month,department,total_scheduled_appointments,no_show_count,no_show_rate_pct,estimated_revenue_loss_eur
2025-08,Cardiology,871,128,14.7,32600.4
2025-08,Dermatology,721,170,23.7,26154.98
2025-08,Orthopedics,2007,254,12.7,50550.44
2025-08,Pediatrics,1420,214,15.1,65054.41
2025-08,General Medicine,2431,379,15.6,102962.52
2025-08,Radiology,1061,122,11.5,30282.53
2025-08,Oncology,2229,213,9.6,30989.07
2025-08,Women's Health,1731,235,13.6,53496.47
2025-08,Behavioral Health,2362,658,27.9,104312.83
2025-08,Physical Therapy,1470,286,19.5,41482.71
2025-09,Cardiology,1316,176,13.4,44853.34
2025-09,Dermatology,2041,579,28.4,89791.36
2025-09,Orthopedics,1861,292,15.7,64632.76
2025-09,Pediatrics,1376,243,17.7,60079.78
2025-09,General Medicine,1179,207,17.6,64132.72
2025-09,Radiology,940,134,14.3,36028.63
2025-09,Oncology,1760,168,9.6,45638.66
2025-09,Women's Health,1524,252,16.6,37291.58
2025-09,Behavioral Health,2550,759,29.8,153148.17
2025-09,Physical Therapy,1089,223,20.5,52695.01
2025-10,Cardiology,1362,264,19.4,51507.69
2025-10,Dermatology,1506,393,26.1,87536.06
2025-10,Orthopedics,2114,279,13.2,56260.02
2025-10,Pediatrics,1717,351,20.5,70016.76
2025-10,General Medicine,2296,406,17.7,94245.24
2025-10,Radiology,1247,174,14.0,29309.43
2025-10,Oncology,2065,177,8.6,34883.38
2025-10,Women's Health,1803,313,17.4,78282.47
2025-10,Behavioral Health,1856,400,21.6,120407.8
2025-10,Physical Therapy,1919,435,22.7,61881.24
2025-11,Cardiology,1067,185,17.4,48514.62
2025-11,Dermatology,840,199,23.7,33286.43
2025-11,Orthopedics,2569,436,17.0,89968.74
2025-11,Pediatrics,1819,391,21.5,114003.29
2025-11,General Medicine,2093,506,24.2,129643.78
2025-11,Radiology,2230,374,16.8,99336.34
2025-11,Oncology,2250,247,11.0,59087.22
2025-11,Women's Health,2309,505,21.9,139887.26
2025-11,Behavioral Health,1111,339,30.6,85667.56
2025-11,Physical Therapy,795,177,22.3,39375.8
2025-12,Cardiology,1681,351,20.9,99291.86
2025-12,Dermatology,1542,411,26.7,92133.6
2025-12,Orthopedics,1443,272,18.9,58816.81
2025-12,Pediatrics,2579,373,14.5,68039.08
2025-12,General Medicine,993,209,21.1,59324.81
2025-12,Radiology,1747,309,17.7,77549.37
2025-12,Oncology,1530,145,9.5,27496.62
2025-12,Women's Health,749,136,18.2,31964.74
2025-12,Behavioral Health,1787,514,28.8,149226.98
2025-12,Physical Therapy,1527,334,21.9,55445.33
2026-01,Cardiology,705,150,21.4,38139.89
2026-01,Dermatology,979,305,31.2,71479.1
2026-01,Orthopedics,2086,367,17.6,56365.97
2026-01,Pediatrics,1200,268,22.4,65725.71
2026-01,General Medicine,775,156,20.2,38539.48
2026-01,Radiology,2056,302,14.7,77741.73
2026-01,Oncology,2316,312,13.5,46285.42
2026-01,Women's Health,2521,562,22.3,137031.85
2026-01,Behavioral Health,1456,451,31.0,114395.92
2026-01,Physical Therapy,1740,403,23.2,93294.88
2026-02,Cardiology,1082,156,14.5,34948.14
2026-02,Dermatology,933,233,25.0,46569.26
2026-02,Orthopedics,2393,330,13.8,102086.47
2026-02,Pediatrics,876,152,17.4,39590.34
2026-02,General Medicine,1363,273,20.1,57482.71
2026-02,Radiology,1905,270,14.2,51077.46
2026-02,Oncology,1422,196,13.8,46528.54
2026-02,Women's Health,1349,256,19.0,59275.34
2026-02,Behavioral Health,2402,775,32.3,154453.46
2026-02,Physical Therapy,1864,441,23.7,104663.72
2026-03,Cardiology,2501,360,14.4,104019.95
2026-03,Dermatology,751,188,25.1,40076.28
2026-03,Orthopedics,1964,204,10.4,39427.14
2026-03,Pediatrics,877,121,13.9,32500.81
2026-03,General Medicine,1432,246,17.2,59141.49
2026-03,Radiology,2248,382,17.0,80273.32
2026-03,Oncology,2426,303,12.5,44808.44
2026-03,Women's Health,2187,282,12.9,62340.32
2026-03,Behavioral Health,1763,516,29.3,113857.07
2026-03,Physical Therapy,1192,209,17.6,33771.39
2026-04,Cardiology,1601,198,12.4,36019.47
2026-04,Dermatology,1225,287,23.5,87426.58
2026-04,Orthopedics,782,133,17.1,22243.56
2026-04,Pediatrics,878,130,14.9,33452.7
2026-04,General Medicine,1504,315,21.0,72286.71
2026-04,Radiology,736,105,14.3,21340.02
2026-04,Oncology,2399,206,8.6,35755.4
2026-04,Women's Health,1275,232,18.2,46309.36
2026-04,Behavioral Health,1129,326,28.9,58200.21
2026-04,Physical Therapy,1703,345,20.3,92224.06
2026-05,Cardiology,1046,154,14.8,36274.41
2026-05,Dermatology,2302,557,24.2,162151.37
2026-05,Orthopedics,954,122,12.8,19370.36
2026-05,Pediatrics,1217,189,15.6,36043.18
2026-05,General Medicine,2050,352,17.2,104793.11
2026-05,Radiology,1414,185,13.1,32679.97
2026-05,Oncology,851,74,8.8,16033.76
2026-05,Women's Health,1584,224,14.2,31747.05
2026-05,Behavioral Health,794,204,25.8,58181.4
2026-05,Physical Therapy,2251,479,21.3,84523.67
2026-06,Cardiology,892,114,12.8,18975.11
2026-06,Dermatology,2082,428,20.6,114855.21
2026-06,Orthopedics,2373,317,13.4,67661.78
2026-06,Pediatrics,1276,149,11.7,23665.76
2026-06,General Medicine,1405,266,19.0,72205.14
2026-06,Radiology,863,111,12.9,33891.19
2026-06,Oncology,1346,107,8.0,27098.4
2026-06,Women's Health,2228,416,18.7,79025.43
2026-06,Behavioral Health,1067,312,29.3,54496.15
2026-06,Physical Therapy,839,138,16.5,32488.64
2026-07,Cardiology,1319,192,14.6,37668.11
2026-07,Dermatology,1740,408,23.5,97651.74
2026-07,Orthopedics,2515,342,13.6,51215.07
2026-07,Pediatrics,2043,300,14.7,68205.53
2026-07,General Medicine,1825,368,20.2,79174.05
2026-07,Radiology,2103,203,9.7,54379.62
2026-07,Oncology,1162,89,7.7,24831.3
2026-07,Women's Health,1419,239,16.9,34212.38
2026-07,Behavioral Health,2527,657,26.0,118625.28
2026-07,Physical Therapy,1800,311,17.3,90169.31
